# time lat lon alt
343.000 56.041138242 92.952566167 20000.000
344.000 56.041213835 92.952479015 20000.000
345.000 56.041289346 92.952391639 20000.000
346.000 56.041364775 92.952304037 20000.000
347.000 56.041440123 92.952216211 20000.000
348.000 56.041515389 92.952128160 20000.000
349.000 56.041590572 92.952039885 20000.000
350.000 56.041665674 92.951951386 20000.000
351.000 56.041740692 92.951862663 20000.000
352.000 56.041815628 92.951773716 20000.000
353.000 56.041890481 92.951684546 20000.000
354.000 56.041965251 92.951595154 20000.000
355.000 56.042039938 92.951505538 20000.000
356.000 56.042114541 92.951415700 20000.000
357.000 56.042189060 92.951325639 20000.000
358.000 56.042263495 92.951235357 20000.000
359.000 56.042337846 92.951144852 20000.000
360.000 56.042412112 92.951054127 20000.000
361.000 56.042486294 92.950963179 20000.000
362.000 56.042560391 92.950872011 20000.000
363.000 56.042634402 92.950780622 20000.000
364.000 56.042708329 92.950689013 20000.000
365.000 56.042782170 92.950597183 20000.000
366.000 56.042855926 92.950505133 20000.000
367.000 56.042929595 92.950412864 20000.000
368.000 56.043003179 92.950320375 20000.000
369.000 56.043076676 92.950227666 20000.000
370.000 56.043150087 92.950134739 20000.000
371.000 56.043223411 92.950041593 20000.000
372.000 56.043296649 92.949948228 20000.000
373.000 56.043369799 92.949854646 20000.000
374.000 56.043442862 92.949760845 20000.000
375.000 56.043515837 92.949666826 20000.000
376.000 56.043588725 92.949572591 20000.000
377.000 56.043661524 92.949478138 20000.000
378.000 56.043734236 92.949383468 20000.000
379.000 56.043806859 92.949288581 20000.000
380.000 56.043879394 92.949193478 20000.000
381.000 56.043951840 92.949098159 20000.000
382.000 56.044024198 92.949002624 20000.000
383.000 56.044096466 92.948906873 20000.000
384.000 56.044168645 92.948810907 20000.000
385.000 56.044240734 92.948714726 20000.000
386.000 56.044312734 92.948618331 20000.000
387.000 56.044384643 92.948521720 20000.000
388.000 56.044456463 92.948424896 20000.000
389.000 56.044528192 92.948327857 20000.000
390.000 56.044599831 92.948230605 20000.000
391.000 56.044671379 92.948133139 20000.000
392.000 56.044742836 92.948035460 20000.000
393.000 56.044814202 92.947937569 20000.000
394.000 56.044885477 92.947839464 20000.000
395.000 56.044956660 92.947741148 20000.000
396.000 56.045027752 92.947642619 20000.000
397.000 56.045098751 92.947543878 20000.000
398.000 56.045169659 92.947444926 20000.000
399.000 56.045240474 92.947345762 20000.000
400.000 56.045311197 92.947246388 20000.000
401.000 56.045381827 92.947146803 20000.000
402.000 56.045452364 92.947047007 20000.000
403.000 56.045522808 92.946947001 20000.000
404.000 56.045593159 92.946846785 20000.000
405.000 56.045663416 92.946746360 20000.000
406.000 56.045733580 92.946645726 20000.000
407.000 56.045803650 92.946544882 20000.000
408.000 56.045873626 92.946443829 20000.000
409.000 56.045943507 92.946342569 20000.000
410.000 56.046013294 92.946241099 20000.000
411.000 56.046082987 92.946139422 20000.000
412.000 56.046152584 92.946037538 20000.000
413.000 56.046222087 92.945935446 20000.000
414.000 56.046291494 92.945833147 20000.000
415.000 56.046360806 92.945730641 20000.000
416.000 56.046430023 92.945627928 20000.000
417.000 56.046499143 92.945525010 20000.000
418.000 56.046568168 92.945421885 20000.000
419.000 56.046637096 92.945318555 20000.000
420.000 56.046705928 92.945215019 20000.000
421.000 56.046774664 92.945111279 20000.000
422.000 56.046843303 92.945007333 20000.000
423.000 56.046911844 92.944903183 20000.000
424.000 56.046980289 92.944798829 20000.000
425.000 56.047048636 92.944694271 20000.000
426.000 56.047116886 92.944589509 20000.000
427.000 56.047185038 92.944484544 20000.000
428.000 56.047253093 92.944379376 20000.000
429.000 56.047321049 92.944274006 20000.000
430.000 56.047388907 92.944168432 20000.000
431.000 56.047456666 92.944062657 20000.000
432.000 56.047524327 92.943956680 20000.000
433.000 56.047591889 92.943850501 20000.000
434.000 56.047659352 92.943744121 20000.000
435.000 56.047726716 92.943637539 20000.000
436.000 56.047793980 92.943530758 20000.000
437.000 56.047861145 92.943423775 20000.000
438.000 56.047928210 92.943316593 20000.000
439.000 56.047995175 92.943209211 20000.000
440.000 56.048062040 92.943101629 20000.000
441.000 56.048128804 92.942993848 20000.000
442.000 56.048195468 92.942885869 20000.000
443.000 56.048262032 92.942777690 20000.000
444.000 56.048328494 92.942669314 20000.000
445.000 56.048394856 92.942560739 20000.000
446.000 56.048461116 92.942451967 20000.000
447.000 56.048527275 92.942342997 20000.000
448.000 56.048593332 92.942233830 20000.000
449.000 56.048659287 92.942124467 20000.000
450.000 56.048725140 92.942014907 20000.000
451.000 56.048790891 92.941905150 20000.000
452.000 56.048856540 92.941795198 20000.000
453.000 56.048922087 92.941685050 20000.000
454.000 56.048987530 92.941574707 20000.000
455.000 56.049052871 92.941464169 20000.000
